source,target,weight
314371,314559,0.271
314371,312098,6.036
314371,316364,6.036
315017,314982,0.38
315017,318632,1.363
314121,313951,0.502
314121,312865,1.131
316045,316018,0.795
316045,316019,0.795
316045,316063,1.275
316045,316064,1.275
312343,312439,0.283
312343,315054,3.579
312343,315804,5.162
313111,317853,1.031
313111,313114,0.218
313114,312439,1.85
318620,316414,0.569
315804,317884,1.552
317853,313132,0.751
316063,316387,2.373
316063,316388,2.373
316064,316387,2.373
316064,316388,2.373
312098,318282,0.337
318632,315054,1.318
312745,312694,0.617
312745,313951,0.95
316328,316387,1.687
316328,316388,1.687
313132,316084,1.171
314668,313658,3.695
318383,317884,10.194
318383,318451,0.835
316084,315993,1.108
314936,314968,1.964
314559,313852,5.255
318282,311903,0.6
318282,311930,0.6
318282,316364,0.337
312139,311903,0.295
312139,311930,0.295
312139,318451,4.676
314955,314982,0.551
315993,316009,0.255
316387,317168,1.687
316388,317168,1.687
316009,316018,0.782
316009,316019,0.782
312689,312694,0.747
