sensor,lat,long
313658,38.58427,-121.29827
317853,38.64149,-121.463672
315804,38.603275,-121.544294
317884,38.588989,-121.553955
313852,38.561957,-121.347672
315993,38.643032,-121.431114
311903,38.566948,-121.506049
313951,38.584522,-121.458575
316009,38.642568,-121.42862
316018,38.639055,-121.420373
316019,38.639315,-121.420301
311930,38.566287,-121.503555
316045,38.637243,-121.410085
316063,38.640501,-121.397843
316064,38.640501,-121.397843
316084,38.641382,-121.446154
314121,38.585349,-121.451288
312098,38.558884,-121.475138
318282,38.559773,-121.479137
312139,38.562532,-121.48956
316328,38.660308,-121.36059
318383,38.574938,-121.546262
316364,38.558891,-121.475192
316387,38.649086,-121.372848
316388,38.649086,-121.372848
318451,38.574963,-121.537403
316414,38.724989,-121.289962
314371,38.553456,-121.410077
312343,38.633144,-121.501332
312439,38.634771,-121.498277
318620,38.72909,-121.285463
318632,38.595862,-121.503843
314559,38.554467,-121.405626
314668,38.566642,-121.334583
312689,38.568104,-121.469267
312694,38.574692,-121.466428
312745,38.579355,-121.46446
312865,38.591949,-121.445317
314936,38.526236,-121.520796
314955,38.577728,-121.507177
314968,38.54261,-121.509546
314982,38.581573,-121.503957
315017,38.586151,-121.502962
315054,38.607815,-121.508535
317168,38.660308,-121.36059
313111,38.64038,-121.479262
313114,38.640613,-121.477438
313132,38.64122,-121.455363
